x,y,edgeDistance,duration,movement,pressure,width,speed,pointerType,label
53,367,53,133,5,0.58,0.71,37.59,mouse,intentional
145,454,61,185,2,0.5,0.87,10.81,mouse,intentional
140,194,140,215,3,0.59,1.07,13.95,mouse,intentional
129,132,129,196,0,0.57,0.99,0.0,mouse,intentional
69,360,69,149,6,0.49,0.94,40.27,mouse,intentional
194,118,86,203,4,0.53,1.06,19.7,mouse,intentional
228,355,52,161,1,0.43,1.09,6.21,mouse,intentional
202,116,78,174,0,0.43,1.1,0.0,mouse,intentional
232,222,48,204,1,0.52,1.02,4.9,mouse,intentional
223,158,57,219,3,0.55,1.01,13.7,mouse,intentional
202,373,78,208,0,0.47,0.93,0.0,mouse,intentional
141,279,139,167,7,0.43,1.15,41.92,mouse,intentional
214,278,66,164,3,0.55,1.11,18.29,mouse,intentional
201,165,79,164,1,0.57,0.97,6.1,mouse,intentional
243,401,37,129,0,0.54,1.02,0.0,mouse,intentional
126,319,126,160,3,0.55,0.95,18.75,mouse,intentional
122,385,122,150,1,0.47,0.82,6.67,mouse,intentional
181,233,99,158,3,0.54,1.07,18.99,mouse,intentional
139,226,139,175,1,0.49,0.75,5.71,mouse,intentional
236,72,44,120,0,0.53,0.86,0.0,mouse,intentional
131,149,131,238,1,0.56,0.86,4.2,mouse,intentional
189,152,91,137,1,0.57,0.74,7.3,mouse,intentional
186,166,94,190,1,0.38,1.01,5.26,mouse,intentional
138,344,138,190,3,0.63,0.96,15.79,mouse,intentional
167,71,71,188,3,0.61,1.13,15.96,mouse,intentional
173,97,97,245,0,0.45,0.86,0.0,mouse,intentional
242,284,38,118,4,0.48,0.78,33.9,mouse,intentional
122,242,122,194,5,0.66,1.44,25.77,mouse,intentional
127,438,77,135,0,0.52,0.88,0.0,mouse,intentional
149,258,131,152,2,0.59,1.02,13.16,mouse,intentional
148,95,95,133,0,0.46,0.99,0.0,mouse,intentional
188,347,92,185,5,0.46,0.82,27.03,mouse,intentional
84,51,51,147,9,0.43,1.13,61.22,mouse,intentional
237,171,43,221,4,0.49,0.99,18.1,mouse,intentional
243,437,37,200,1,0.4,0.81,5.0,mouse,intentional
66,418,66,251,3,0.49,1.04,11.95,mouse,intentional
133,170,133,189,1,0.59,1.06,5.29,mouse,intentional
189,356,91,188,0,0.39,1.25,0.0,mouse,intentional
49,392,49,171,1,0.62,0.83,5.85,mouse,intentional
93,168,93,208,1,0.5,0.98,4.81,mouse,intentional
231,40,40,243,3,0.55,0.69,12.35,mouse,intentional
97,252,97,142,0,0.43,0.95,0.0,mouse,intentional
40,342,40,120,3,0.46,0.95,25.0,mouse,intentional
62,245,62,204,7,0.49,0.9,34.31,mouse,intentional
139,45,45,190,3,0.41,1.01,15.79,mouse,intentional
192,215,88,293,8,0.43,0.96,27.3,mouse,intentional
125,235,125,153,3,0.6,0.89,19.61,mouse,intentional
87,377,87,83,2,0.42,0.92,24.1,mouse,intentional
59,195,59,230,2,0.36,0.78,8.7,mouse,intentional
146,141,134,122,0,0.65,1.44,0.0,mouse,intentional
220,63,60,163,4,0.64,0.85,24.54,mouse,intentional
228,96,52,214,4,0.47,0.98,18.69,mouse,intentional
130,84,84,169,2,0.52,0.92,11.83,mouse,intentional
125,289,125,225,3,0.53,1.01,13.33,mouse,intentional
189,411,91,147,3,0.49,1.31,20.41,mouse,intentional
169,280,111,197,0,0.41,1.18,0.0,mouse,intentional
57,57,57,201,0,0.57,1.07,0.0,mouse,intentional
85,456,59,158,3,0.5,0.96,18.99,mouse,intentional
190,92,90,168,3,0.62,0.62,17.86,mouse,intentional
199,200,81,187,3,0.47,0.74,16.04,mouse,intentional
69,214,69,257,0,0.57,0.95,0.0,mouse,intentional
126,198,126,132,1,0.6,1.09,7.58,mouse,intentional
214,241,66,232,4,0.64,1.07,17.24,mouse,intentional
77,380,77,166,3,0.44,1.15,18.07,mouse,intentional
42,122,42,215,2,0.59,1.11,9.3,mouse,intentional
165,347,115,212,0,0.49,0.82,0.0,mouse,intentional
70,379,70,248,4,0.44,0.85,16.13,mouse,intentional
53,143,53,125,0,0.52,1.17,0.0,mouse,intentional
36,281,36,80,3,0.51,1.06,37.5,mouse,intentional
143,246,137,87,1,0.55,0.76,11.49,mouse,intentional
186,72,72,196,5,0.45,1.12,25.51,mouse,intentional
188,178,92,190,3,0.52,0.87,15.79,mouse,intentional
146,170,134,173,4,0.58,0.84,23.12,mouse,intentional
189,199,91,246,0,0.43,1.03,0.0,mouse,intentional
163,241,117,180,6,0.57,1.13,33.33,mouse,intentional
123,85,85,284,2,0.34,1.24,7.04,mouse,intentional
41,330,41,184,6,0.37,0.81,32.61,mouse,intentional
238,232,42,144,4,0.54,1.04,27.78,mouse,intentional
149,82,82,80,3,0.46,1.07,37.5,mouse,intentional
44,80,44,186,5,0.52,1.08,26.88,mouse,intentional
86,138,86,171,3,0.57,0.94,17.54,mouse,intentional
95,317,95,168,2,0.57,0.7,11.9,mouse,intentional
240,379,40,113,0,0.45,1.11,0.0,mouse,intentional
238,433,42,188,6,0.61,0.99,31.91,mouse,intentional
58,88,58,175,7,0.51,0.87,40.0,mouse,intentional
129,101,101,113,0,0.47,1.12,0.0,mouse,intentional
144,456,59,117,4,0.42,1.07,34.19,mouse,intentional
81,415,81,97,5,0.45,0.92,51.55,mouse,intentional
114,456,59,150,4,0.48,1.05,26.67,mouse,intentional
128,97,97,239,1,0.38,1.16,4.18,mouse,intentional
89,314,89,230,4,0.49,1.05,17.39,mouse,intentional
226,238,54,273,3,0.51,1.16,10.99,mouse,intentional
